TEAM_ID,TEAM_NAME,Restricted_Area_FGM,Restricted_Area_FGA,Restricted_Area_FG_PCT,In_The_Paint_Non_RA_FGM,In_The_Paint_Non_RA_FGA,In_The_Paint_Non_RA_FG_PCT,Mid_Range_FGM,Mid_Range_FGA,Mid_Range_FG_PCT,Left_Corner_3_FGM,Left_Corner_3_FGA,Left_Corner_3_FG_PCT,Right_Corner_3_FGM,Right_Corner_3_FGA,Right_Corner_3_FG_PCT,Above_the_Break_3_FGM,Above_the_Break_3_FGA,Above_the_Break_3_FG_PCT,Backcourt_FGM,Backcourt_FGA,Backcourt_FG_PCT,Corner_3_FGM,Corner_3_FGA,Corner_3_FG_PCT,FTM,FTA,GP,MIN,POSS,Season
1610612751,Brooklyn Nets,43,71,0.606,21,62,0.339,19,48,0.396,8,26,0.308,10,32,0.313,44,123,0.358,0,3,0,18,58,0.31,71,98,4,192,413,2020
1610612742,Dallas Mavericks,92,136,0.676,42,99,0.424,38,75,0.507,13,28,0.464,13,28,0.464,55,168,0.327,0,1,0,26,56,0.464,115,159,6,293,626,2020
1610612743,Denver Nuggets,270,431,0.626,103,226,0.456,132,296,0.446,30,82,0.366,17,60,0.283,186,467,0.398,0,6,0,47,142,0.331,332,407,19,917,1813,2020
1610612745,Houston Rockets,188,310,0.606,36,104,0.346,22,54,0.407,41,90,0.456,40,97,0.412,121,373,0.324,1,1,1,81,187,0.433,191,242,12,581,1200,2020
1610612754,Indiana Pacers,58,92,0.63,18,43,0.419,22,58,0.379,6,14,0.429,5,10,0.5,37,104,0.356,0,0,0,11,24,0.458,63,81,4,192,388,2020
1610612746,LA Clippers,202,323,0.625,95,185,0.514,78,188,0.415,36,82,0.439,21,51,0.412,100,291,0.344,0,3,0,57,133,0.429,261,327,13,629,1296,2020
1610612747,Los Angeles Lakers,414,592,0.699,86,200,0.43,108,255,0.424,52,120,0.433,51,142,0.359,151,451,0.335,0,4,0,103,262,0.393,391,516,21,1008,2049,2020
1610612748,Miami Heat,292,448,0.652,133,289,0.46,100,242,0.413,31,83,0.373,34,93,0.366,202,563,0.359,0,5,0,65,176,0.369,458,555,21,1018,2049,2020
1610612749,Milwaukee Bucks,166,246,0.675,45,117,0.385,57,137,0.416,20,51,0.392,20,54,0.37,93,265,0.351,0,1,0,40,105,0.381,176,243,10,485,1018,2020
1610612760,Oklahoma City Thunder,97,164,0.591,29,83,0.349,47,95,0.495,6,24,0.25,13,34,0.382,65,195,0.333,0,3,0,19,58,0.328,130,168,7,341,716,2020
1610612753,Orlando Magic,41,77,0.532,28,67,0.418,42,100,0.42,7,18,0.389,6,12,0.5,62,168,0.369,0,1,0,13,30,0.433,88,105,5,240,525,2020
1610612755,Philadelphia 76ers,49,79,0.62,26,65,0.4,26,71,0.366,5,11,0.455,1,9,0.111,26,101,0.257,0,0,0,6,20,0.3,104,128,4,192,383,2020
1610612757,Portland Trail Blazers,76,129,0.589,20,63,0.317,34,96,0.354,6,15,0.4,7,12,0.583,45,126,0.357,0,0,0,13,27,0.481,99,125,5,240,512,2020
1610612761,Toronto Raptors,171,296,0.578,50,133,0.376,49,103,0.476,17,40,0.425,15,34,0.441,127,363,0.35,1,4,0.25,32,74,0.432,182,234,11,538,1107,2020
1610612762,Utah Jazz,112,175,0.64,44,101,0.436,13,36,0.361,17,40,0.425,13,28,0.464,80,192,0.417,0,1,0,30,68,0.441,126,163,7,341,660,2020
1610612737,Atlanta Hawks,227,348,0.652,141,320,0.441,122,280,0.436,26,58,0.448,27,73,0.37,158,481,0.328,0,2,0,53,131,0.405,300,376,18,864,1759,2021
1610612738,Boston Celtics,69,120,0.575,31,68,0.456,28,69,0.406,9,21,0.429,9,23,0.391,46,138,0.333,0,2,0,18,44,0.409,113,137,5,240,484,2021
1610612751,Brooklyn Nets,151,246,0.614,90,198,0.455,84,163,0.515,8,33,0.242,14,28,0.5,141,363,0.388,0,3,0,22,61,0.361,211,243,12,581,1165,2021
1610612742,Dallas Mavericks,95,149,0.638,50,126,0.397,34,82,0.415,9,20,0.45,4,18,0.222,82,206,0.398,0,1,0,13,38,0.342,99,140,7,336,650,2021
1610612743,Denver Nuggets,176,274,0.642,49,125,0.392,49,138,0.355,19,45,0.422,21,40,0.525,107,297,0.36,0,3,0,40,85,0.471,159,209,10,490,983,2021
1610612746,LA Clippers,260,401,0.648,110,242,0.455,111,224,0.496,37,108,0.343,32,83,0.386,193,497,0.388,0,2,0,69,191,0.361,371,451,19,912,1778,2021
1610612747,Los Angeles Lakers,107,180,0.594,27,59,0.458,13,62,0.21,8,21,0.381,3,26,0.115,48,150,0.32,0,0,0,11,47,0.234,114,147,6,288,570,2021
1610612763,Memphis Grizzlies,86,125,0.688,61,146,0.418,22,43,0.512,5,17,0.294,2,11,0.182,45,128,0.352,0,2,0,7,28,0.25,81,102,5,240,500,2021
1610612748,Miami Heat,45,82,0.549,29,68,0.426,19,64,0.297,7,16,0.438,6,16,0.375,35,111,0.315,0,0,0,13,32,0.406,62,81,4,197,411,2021
1610612749,Milwaukee Bucks,418,607,0.689,162,359,0.451,130,325,0.4,35,100,0.35,43,99,0.434,180,602,0.299,0,3,0,78,199,0.392,343,478,23,1114,2262,2021
1610612752,New York Knicks,76,141,0.539,21,57,0.368,23,82,0.28,9,22,0.409,5,18,0.278,38,112,0.339,0,0,0,14,40,0.35,89,109,5,240,475,2021
1610612755,Philadelphia 76ers,202,294,0.687,94,218,0.431,81,178,0.455,10,26,0.385,19,38,0.5,104,273,0.381,0,2,0,29,64,0.453,241,352,12,576,1207,2021
1610612756,Phoenix Suns,308,462,0.667,171,364,0.47,175,391,0.448,37,74,0.5,36,91,0.396,173,484,0.357,0,5,0,73,165,0.442,352,409,22,1056,2118,2021
1610612757,Portland Trail Blazers,97,143,0.678,28,73,0.384,30,79,0.38,11,26,0.423,9,27,0.333,77,181,0.425,0,1,0,20,53,0.377,116,136,6,298,587,2021
1610612762,Utah Jazz,147,225,0.653,70,160,0.438,22,62,0.355,16,40,0.4,22,49,0.449,160,388,0.412,0,2,0,38,89,0.427,214,267,11,528,1071,2021
1610612764,Washington Wizards,84,123,0.683,43,108,0.398,41,91,0.451,3,14,0.214,6,15,0.4,26,91,0.286,0,1,0,9,29,0.31,109,145,5,240,514,2021
1610612737,Atlanta Hawks,57,84,0.679,30,64,0.469,28,68,0.412,8,22,0.364,15,36,0.417,34,117,0.291,0,0,0,23,58,0.397,86,110,5,240,468,2022
1610612738,Boston Celtics,299,468,0.639,158,383,0.413,97,233,0.416,56,137,0.409,35,91,0.385,236,647,0.365,0,3,0,91,228,0.399,443,556,24,1152,2297,2022
1610612751,Brooklyn Nets,47,69,0.681,23,44,0.523,41,90,0.456,6,15,0.4,12,16,0.75,28,78,0.359,0,0,0,18,31,0.581,76,103,4,192,379,2022
1610612741,Chicago Bulls,57,94,0.606,25,60,0.417,48,113,0.425,6,27,0.222,8,26,0.308,38,130,0.292,0,1,0,14,53,0.264,60,72,5,240,504,2022
1610612742,Dallas Mavericks,168,252,0.667,151,331,0.456,50,127,0.394,46,114,0.404,48,101,0.475,190,528,0.36,0,2,0,94,215,0.437,324,420,18,864,1681,2022
1610612743,Denver Nuggets,39,51,0.765,81,151,0.536,22,56,0.393,9,22,0.409,6,23,0.261,40,107,0.374,0,4,0,15,45,0.333,100,126,5,240,483,2022
1610612744,Golden State Warriors,255,356,0.716,232,472,0.492,115,247,0.466,34,85,0.4,26,82,0.317,248,650,0.382,0,3,0,60,167,0.359,333,435,22,1056,2150,2022
1610612763,Memphis Grizzlies,177,288,0.615,118,297,0.397,27,83,0.325,19,64,0.297,15,46,0.326,120,316,0.38,1,2,0.5,34,110,0.309,239,325,12,576,1230,2022
1610612748,Miami Heat,275,408,0.674,125,274,0.456,88,229,0.384,22,89,0.247,32,91,0.352,142,442,0.321,0,3,0,54,180,0.3,312,388,18,864,1694,2022
1610612749,Milwaukee Bucks,207,303,0.683,75,208,0.361,53,158,0.335,18,42,0.429,21,49,0.429,88,291,0.302,0,5,0,39,91,0.429,182,249,12,576,1193,2022
1610612750,Minnesota Timberwolves,99,169,0.586,20,64,0.313,16,45,0.356,13,31,0.419,9,28,0.321,61,154,0.396,0,1,0,22,59,0.373,136,168,6,288,619,2022
1610612740,New Orleans Pelicans,98,144,0.681,40,108,0.37,40,97,0.412,11,19,0.579,3,12,0.25,42,124,0.339,0,2,0,14,31,0.452,135,173,6,288,570,2022
1610612755,Philadelphia 76ers,186,265,0.702,64,171,0.374,39,105,0.371,25,67,0.373,24,62,0.387,99,268,0.369,0,1,0,49,129,0.38,231,272,12,581,1117,2022
1610612756,Phoenix Suns,190,271,0.701,110,235,0.468,107,219,0.489,17,41,0.415,16,43,0.372,95,266,0.357,0,1,0,33,84,0.393,201,246,13,624,1218,2022
1610612761,Toronto Raptors,98,131,0.748,37,101,0.366,36,87,0.414,9,29,0.31,8,17,0.471,42,149,0.282,0,2,0,17,46,0.37,100,126,6,293,565,2022
1610612762,Utah Jazz,78,124,0.629,68,137,0.496,15,34,0.441,7,17,0.412,6,22,0.273,36,139,0.259,0,1,0,13,39,0.333,125,159,6,288,548,2022
